model,rmse,mae,qlike,n,ticker
rf,0.020895079374752837,0.013671468094345563,-5.330187756268451,2772,INTU
baseline,0.02310565030815659,0.015633388975343405,-5.340717757366981,2772,IQV
har,0.02117125066200516,0.013609052529893768,-5.397907728318606,2772,IQV
ridge,0.02074743217324679,0.013373744673114779,-5.432288926967104,2772,IQV
rf,0.02136063699804636,0.013573167559310347,-5.420718406740583,2772,IQV
baseline,0.024530728923660285,0.017683485944238783,-5.178783844226941,2772,ISRG
har,0.022324296525582866,0.015235962320631052,-5.266942087145896,2772,ISRG
ridge,0.021707197533633652,0.014910650055323823,-5.291415810527362,2772,ISRG
rf,0.021886095580706894,0.01486259199494948,-5.288963078570942,2772,ISRG
baseline,0.017176707619449245,0.01174243491990294,-5.966288408752878,2772,ITW
har,0.015999613574599114,0.011181073975118739,-6.023135938988936,2772,ITW
ridge,0.01566181078794739,0.01086789829598032,-6.034378884119332,2772,ITW
rf,0.01581061479674751,0.010823939962507339,-6.036803916731064,2772,ITW
baseline,0.021647043598713084,0.014612111187026001,-5.40861762405827,2772,JBHT
har,0.01974881000080638,0.012997115626580354,-5.434201316500933,2772,JBHT
ridge,0.019664343217592178,0.013014889845177716,-5.448804190337478,2772,JBHT
rf,0.019500666388163307,0.01282549170570975,-5.4567165020309885,2772,JBHT
baseline,0.014040922261080615,0.009423989057984031,-6.3527547046457284,2772,JNJ
har,0.013478787956733981,0.0098972519509361,-6.452210200869446,2772,JNJ
ridge,0.013147772852332828,0.009607695250018157,-6.473454554790631,2772,JNJ
